item	kind	provider	type	outcome	side	pickedArtist	sifts	requests	ms	detail
B4	album	itunes	ALBUM_ART	REJECT	ARTIST-SIDE		album:1/a0/t0[Manos Loizos & Haris Alexiou];albumAlias:1/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[]	1	1517	NotFound
B4	album	discogs	ALBUM_ART	MATCH		Χάρις Αλεξίου, Αντώνης Βαρδής	discogsAlbum:5/a5/t5[Χάρις Αλεξίου, Αντώνης Βαρδής - Ξημερώνει|Χάρις Αλεξίου, Onirama - Ξημερώνει|Χάρις Αλεξίου, Αντώνη Βαρδή* - Ξημερώνει|Χάρις Αλεξίου, Αντώνης Βαρδής - Ξημερώνει|Χάρις Αλεξίου, Αντώνης Βαρδής - Ξημερώνει]	1	326	conf=0.8
B5	album	deezer	ALBUM_ART	REJECT	ARTIST-SIDE		album:0/a0/t0[];albumAlias:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[]	1	381	NotFound
B5	album	itunes	ALBUM_ART	REJECT	ARTIST-SIDE		album:0/a0/t0[];albumAlias:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[];album:0/a0/t0[]	1	1967	NotFound
B5	album	discogs	ALBUM_ART	REJECT	ARTIST-SIDE		discogsAlbum:0/a0/t0[];discogsAlbumAlias:0/a0/t0[]	1	286	NotFound
C1	track	deezer	TRACK_METADATA	REJECT	NO-POOL			2	921	NotFound
C2	track	deezer	TRACK_METADATA	REJECT	NO-POOL			2	1025	NotFound
C3	track	deezer	TRACK_METADATA	MATCH-UNTRACED				1	462	conf=0.8
C4	track	deezer	TRACK_METADATA	REJECT	NO-POOL			2	1024	NotFound
C5	track	deezer	TRACK_METADATA	REJECT	NO-POOL			2	942	NotFound
L1	album	deezer	ALBUM_ART	MATCH		Radiohead	album:5/a2/t1[Radiohead|Radiohead|Vitamin String Quartet|Mother Falcon|Molotov Cocktail Piano]	1	407	conf=0.8
L1	album	itunes	ALBUM_ART	MATCH		Radiohead	album:5/a2/t1[Radiohead|Radiohead|Mother Falcon|Molotov Cocktail Piano|Vitamin String Quartet]	1	297	conf=0.8
L1	album	discogs	ALBUM_ART	MATCH		Radiohead	discogsAlbum:5/a5/t4[Radiohead - Ok. Компьютер (OK Computer)|Radiohead - OK Computer|Radiohead - OK Computer|Radiohead - OK Computer|Radiohead - OK Computer]	1	317	conf=0.8
TOTALS	74	api.deezer.com=20,api.discogs.com=13,itunes.apple.com=14,musicbrainz.org=27
