arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	identityMbid	identityCorrect	latinName	requests	ms	detail
b	B3	album	discogs	ALBUM_ART	MATCH	Кино	DiscogsRelease(title=Кино - Группа Крови, label=Maschina Records, year=2019, country=Russia, coverImage=https://i.discogs.com/8oCUpaCydS3GJLJ-fNqk0xJJKdvABTheGJ9TVdGgYCU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	307	conf=0.8 tiers=[]
b	B4	album	deezer	ALBUM_ART	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	409	NotFound tiers=[]
b	B4	album	itunes	ALBUM_ART	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	558	NotFound tiers=[]
b	B4	album	discogs	ALBUM_ART	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	365	NotFound tiers=[]
b	B5	album	deezer	ALBUM_ART	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	1	410	NotFound tiers=[]
b	B5	album	itunes	ALBUM_ART	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	1	1828	NotFound tiers=[]
b	B5	album	discogs	ALBUM_ART	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	1	234	NotFound tiers=[]
b	C1	track	deezer	TRACK_METADATA	REJECT			b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	2	1024	NotFound tiers=[]
b	C2	track	deezer	TRACK_METADATA	REJECT			b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	2	939	NotFound tiers=[]
b	C3	track	deezer	TRACK_METADATA	MATCH	Кино	DeezerTrackSearchResult(id=448260732, title=Группа крови, artistName=Кино, previewUrl=https://cdnt-preview.dzcdn.net/api/1/1/a/d/e/0/adeeb096e9baeb6c8e4760b8572acffa.mp3?hdnea=exp=1788547057~acl=/api/1/1/a/d/e/0/adeeb096e9baeb6c8e4760b8572a	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	415	conf=0.8 tiers=[]
b	C4	track	deezer	TRACK_METADATA	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	2	1024	NotFound tiers=[]
b	C5	track	deezer	TRACK_METADATA	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	2	923	NotFound tiers=[]
TOTALS	64	api.deezer.com=19,api.discogs.com=15,itunes.apple.com=15,musicbrainz.org=15
