arm|scenario|ordering|artists|walks|main_api_calls_skipped|doomed_calls_made|answers_lost|successes|wall_clock_ms|breaker_states
type|S1_LABS_DOWN|INTERLEAVE|1|5|0|1|0|4|12|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=CLOSED, listenbrainz@ARTIST_POPULARITY=CLOSED, listenbrainz@ARTIST_RADIO_DISCOVERY=CLOSED, listenbrainz@ARTIST_TOP_TRACKS=CLOSED, listenbrainz@SIMILAR_ARTISTS=CLOSED}
type|S1_LABS_DOWN|INTERLEAVE|20|100|0|5|0|80|17|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=CLOSED, listenbrainz@ARTIST_POPULARITY=CLOSED, listenbrainz@ARTIST_RADIO_DISCOVERY=CLOSED, listenbrainz@ARTIST_TOP_TRACKS=CLOSED, listenbrainz@SIMILAR_ARTISTS=OPEN}
type|S1_LABS_DOWN|BURST|1|5|0|1|0|4|0|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=CLOSED, listenbrainz@ARTIST_POPULARITY=CLOSED, listenbrainz@ARTIST_RADIO_DISCOVERY=CLOSED, listenbrainz@ARTIST_TOP_TRACKS=CLOSED, listenbrainz@SIMILAR_ARTISTS=CLOSED}
type|S1_LABS_DOWN|BURST|20|100|0|5|0|80|12|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=CLOSED, listenbrainz@ARTIST_POPULARITY=CLOSED, listenbrainz@ARTIST_RADIO_DISCOVERY=CLOSED, listenbrainz@ARTIST_TOP_TRACKS=CLOSED, listenbrainz@SIMILAR_ARTISTS=OPEN}
type|S2_PROVIDER_DOWN|INTERLEAVE|1|5|0|5|0|0|0|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=CLOSED, listenbrainz@ARTIST_POPULARITY=CLOSED, listenbrainz@ARTIST_RADIO_DISCOVERY=CLOSED, listenbrainz@ARTIST_TOP_TRACKS=CLOSED, listenbrainz@SIMILAR_ARTISTS=CLOSED}
type|S2_PROVIDER_DOWN|INTERLEAVE|20|100|60|25|0|0|6|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=OPEN, listenbrainz@ARTIST_POPULARITY=OPEN, listenbrainz@ARTIST_RADIO_DISCOVERY=OPEN, listenbrainz@ARTIST_TOP_TRACKS=OPEN, listenbrainz@SIMILAR_ARTISTS=OPEN}
type|S2_PROVIDER_DOWN|BURST|1|5|0|5|0|0|0|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=CLOSED, listenbrainz@ARTIST_POPULARITY=CLOSED, listenbrainz@ARTIST_RADIO_DISCOVERY=CLOSED, listenbrainz@ARTIST_TOP_TRACKS=CLOSED, listenbrainz@SIMILAR_ARTISTS=CLOSED}
type|S2_PROVIDER_DOWN|BURST|20|100|60|25|0|0|5|{healthy_other@GENRE=CLOSED, listenbrainz@ARTIST_DISCOGRAPHY=OPEN, listenbrainz@ARTIST_POPULARITY=OPEN, listenbrainz@ARTIST_RADIO_DISCOVERY=OPEN, listenbrainz@ARTIST_TOP_TRACKS=OPEN, listenbrainz@SIMILAR_ARTISTS=OPEN}
