arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	identityMbid	identityCorrect	latinName	requests	ms	detail
a	B2	album	discogs	ALBUM_ART	MATCH	IU	DiscogsRelease(title=IU (3) - Palette, label=Loen Entertainment, year=2017, country=South Korea, coverImage=https://i.discogs.com/KxP2SDqXxc4NN3bhCmCuvw_9HPUnxJ7N_FFjL0JY4Us/rs:fit/g:sm/q:90/h:450/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWd	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	1	312	conf=0.8
a	B3	album	deezer	ALBUM_ART	REJECT			064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	326	NotFound
a	B3	album	itunes	ALBUM_ART	MATCH	Kino	ITunesAlbumResult(collectionId=1333010977, collectionName=Группа крови, artistName=Kino, artworkUrl=https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a2/f7/13/a2f713de-4af3-9e21-da3f-c73d747cd847/cover.jpg/100x100bb.jpg, releaseDate=1988	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	222	conf=0.8
a	B3	album	discogs	ALBUM_ART	REJECT			064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	270	NotFound
a	B4	album	deezer	ALBUM_ART	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	370	NotFound
a	B4	album	itunes	ALBUM_ART	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	1716	NotFound
a	B4	album	discogs	ALBUM_ART	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	332	NotFound
a	B5	album	deezer	ALBUM_ART	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	1	322	NotFound
a	B5	album	itunes	ALBUM_ART	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	1	103	NotFound
a	B5	album	discogs	ALBUM_ART	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	1	292	NotFound
a	C1	track	deezer	TRACK_METADATA	REJECT			b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	2	1006	NotFound
a	C2	track	deezer	TRACK_METADATA	REJECT			b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	2	984	NotFound
a	C3	track	deezer	TRACK_METADATA	REJECT			064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	2	870	NotFound
a	C4	track	deezer	TRACK_METADATA	REJECT			2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	2	921	NotFound
a	C5	track	deezer	TRACK_METADATA	REJECT			338bbb53-5b96-447a-9444-8906844a0790	true	Feyruz	2	929	NotFound
TOTALS	64	api.deezer.com=20,api.discogs.com=14,itunes.apple.com=15,musicbrainz.org=15
