arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	poolSize	pool	mbRequests	requests	ms	detail
live	B4	album	itunes	ALBUM_ART	REJECT			12	Χάρις Αλεξίου|Charis Alexiou|Charoula Alexiou|Haris Alexiou|Kharis Alexiou|Több elõadó|Xaris Alexiou|Xaroula Aleksiou|×Üñéò Áëåîßïõ|ΧΑΡΙΣ ΑΛΕΞΙΟΥ|Χάρις Αλεξίου|Χαρούλα Αλεξίου	4	1	37274	NotFound
live	B4	album	discogs	ALBUM_ART	REJECT			12	Χάρις Αλεξίου|Charis Alexiou|Charoula Alexiou|Haris Alexiou|Kharis Alexiou|Több elõadó|Xaris Alexiou|Xaroula Aleksiou|×Üñéò Áëåîßïõ|ΧΑΡΙΣ ΑΛΕΞΙΟΥ|Χάρις Αλεξίου|Χαρούλα Αλεξίου	4	1	8292	NotFound
live	B5	album	deezer	ALBUM_ART	REJECT			6	فيروز|Fairouz|Fairuz|Fayrouz|Feyruz|فيروز	4	1	13924	NotFound
live	B5	album	itunes	ALBUM_ART	REJECT			6	فيروز|Fairouz|Fairuz|Fayrouz|Feyruz|فيروز	4	1	7798	NotFound
live	B5	album	discogs	ALBUM_ART	REJECT			6	فيروز|Fairouz|Fairuz|Fayrouz|Feyruz|فيروز	4	1	6025	NotFound
live	C1	track	deezer	TRACK_METADATA	REJECT			0		1	2	8602	NotFound
live	C2	track	deezer	TRACK_METADATA	REJECT			0		3	2	11378	NotFound
live	C3	track	deezer	TRACK_METADATA	MATCH	Кино	DeezerTrackSearchResult(id=448260732, title=Группа крови, artistName=Кино, previewUrl=https://cdnt-preview.dzcdn.net/api/1/1/a/d/e/0/adeeb096e9baeb6c8e4760b8572acffa.mp3?hdnea=exp=1788550712~acl=/api/1/1/a/d/e/0/adeeb096e9baeb6c8e4760b8572a	0		1	1	7625	conf=0.8
live	C4	track	deezer	TRACK_METADATA	REJECT			0		1	2	2090	NotFound
live	C5	track	deezer	TRACK_METADATA	REJECT			0		1	2	1536	NotFound
TOTALS	149	api.deezer.com=20,api.discogs.com=16,itunes.apple.com=17,musicbrainz.org=96
